generation rock paper scissors lizzard spock
817 78413 43759 23188 14627 213
818 77971 45155 22845 14017 212
819 77307 46692 22536 13437 228
820 76656 48212 22224 12886 222
821 75826 49817 21979 12346 232
822 74811 51451 21800 11903 235
823 73707 53130 21646 11475 242
824 72581 54712 21575 11093 239
825 71193 56468 21500 10791 248
826 69769 58272 21458 10452 249
827 68335 59918 21434 10256 257
828 66775 61575 21534 10048 268
829 65115 63326 21656 9838 265
830 63351 65023 21824 9738 264
831 61585 66774 22020 9546 275
832 59907 68289 22272 9465 267
833 58084 69823 22633 9391 269
834 56361 71199 23066 9301 273
835 54581 72588 23522 9230 279
836 52988 73722 24034 9185 271
837 51308 74740 24673 9198 281
838 49693 75661 25364 9200 282
839 48076 76591 26002 9261 270
840 46600 77272 26734 9331 263
841 45284 77727 27611 9314 264
842 43831 78161 28562 9383 263
843 42459 78446 29621 9410 264
844 41230 78592 30651 9460 267
845 40040 78610 31773 9519 258
846 38984 78478 32950 9539 249
847 38017 78107 34229 9604 243
848 37101 77683 35552 9623 241
849 36259 77096 36929 9685 231
850 35440 76372 38429 9738 221
851 34711 75575 39985 9718 211
852 34094 74604 41527 9770 205
853 33577 73539 43168 9705 211
854 33034 72470 44760 9719 217
855 32601 71254 46476 9660 209
856 32361 69874 48124 9634 207
857 32050 68564 49854 9528 204
